epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,401.514,0.19919,0.21592,0.80986,0.99487,0.99183,0.99206,0.98506,0.13225,0.175,0.76915,0.000399051,0.000399051,0.000399051
36,412.212,0.19949,0.21221,0.81337,0.99393,0.99174,0.9919,0.98602,0.13685,0.17897,0.76481,0.000384052,0.000384052,0.000384052
37,422.759,0.19984,0.21095,0.81264,0.99281,0.9917,0.993,0.98573,0.12681,0.1679,0.77086,0.000369054,0.000369054,0.000369054
38,433.675,0.20018,0.20744,0.816,0.99299,0.99181,0.9919,0.98534,0.12962,0.16799,0.76704,0.000354055,0.000354055,0.000354055
39,444.54,0.19207,0.20462,0.8088,0.99493,0.99121,0.99344,0.98708,0.13781,0.17145,0.7665,0.000339057,0.000339057,0.000339057
40,455.873,0.19088,0.20009,0.80914,0.99548,0.99026,0.99324,0.98736,0.12126,0.16589,0.76585,0.000324058,0.000324058,0.000324058
41,466.808,0.19486,0.20471,0.8121,0.99484,0.99016,0.99471,0.98792,0.12035,0.16407,0.76321,0.00030906,0.00030906,0.00030906
42,478.05,0.19079,0.20556,0.80844,0.9948,0.99073,0.99457,0.98749,0.12671,0.1673,0.76383,0.000294061,0.000294061,0.000294061
43,489.523,0.18274,0.19565,0.80774,0.99427,0.99177,0.9946,0.98786,0.12008,0.15803,0.76508,0.000279063,0.000279063,0.000279063
44,501.26,0.18408,0.19459,0.80761,0.99735,0.98996,0.99457,0.98784,0.12225,0.15397,0.76639,0.000264064,0.000264064,0.000264064
45,512.638,0.1744,0.18431,0.80734,0.99452,0.98861,0.99341,0.987,0.11569,0.1502,0.76639,0.000249066,0.000249066,0.000249066
46,523.42,0.17865,0.18514,0.80993,0.99537,0.99021,0.99351,0.98695,0.12334,0.15666,0.76868,0.000234068,0.000234068,0.000234068
47,534.394,0.17903,0.1875,0.80815,0.99551,0.99028,0.99346,0.98741,0.12348,0.15352,0.76475,0.000219069,0.000219069,0.000219069
48,546.266,0.17702,0.1833,0.8082,0.99371,0.99017,0.99349,0.98845,0.11182,0.14655,0.76391,0.00020407,0.00020407,0.00020407
49,557.894,0.16892,0.17623,0.80888,0.99362,0.99164,0.99339,0.98711,0.12199,0.14794,0.76689,0.000189072,0.000189072,0.000189072
50,569.378,0.17725,0.182,0.80779,0.99439,0.99186,0.99315,0.98709,0.1044,0.14551,0.76597,0.000174074,0.000174074,0.000174074
51,596.709,0.13613,0.15379,0.78771,0.99437,0.99177,0.99346,0.98664,0.10954,0.146,0.76693,0.000159075,0.000159075,0.000159075
52,607.602,0.13503,0.14998,0.78616,0.99483,0.9911,0.99315,0.98649,0.11595,0.14242,0.76967,0.000144077,0.000144077,0.000144077
53,618.375,0.1356,0.15096,0.78108,0.9956,0.99131,0.99337,0.98696,0.10348,0.13684,0.76509,0.000129078,0.000129078,0.000129078
54,629.727,0.13225,0.14574,0.7818,0.99557,0.99148,0.99349,0.98643,0.10831,0.13916,0.76633,0.00011408,0.00011408,0.00011408
55,640.953,0.12819,0.14294,0.78302,0.99531,0.99211,0.99349,0.9871,0.10882,0.13671,0.76747,9.9081e-05,9.9081e-05,9.9081e-05
56,651.404,0.12665,0.14038,0.78051,0.99629,0.99119,0.99349,0.98701,0.10601,0.13403,0.76681,8.40825e-05,8.40825e-05,8.40825e-05
57,662.021,0.12307,0.13695,0.7775,0.99389,0.99196,0.99347,0.98675,0.10076,0.13218,0.76696,6.9084e-05,6.9084e-05,6.9084e-05
58,672.386,0.12295,0.1352,0.78119,0.99454,0.99068,0.99347,0.98763,0.09129,0.12574,0.76453,5.40855e-05,5.40855e-05,5.40855e-05
59,682.712,0.12127,0.13246,0.77687,0.99462,0.99186,0.99347,0.9876,0.09779,0.126,0.76482,3.9087e-05,3.9087e-05,3.9087e-05
60,693.262,0.12006,0.13442,0.78203,0.9951,0.99026,0.9934,0.98715,0.08922,0.12189,0.7637,2.40885e-05,2.40885e-05,2.40885e-05
